encoding,bits_per_digit,valid_states,total_states,invalid_fraction,flip_prob,trials,correct_rate,detected_error_rate,silent_error_rate
BCD,4,10,16,0.375,0.001,10000,0.9955,0.0013,0.0032
SCD,5,10,32,0.6875,0.001,10000,0.9959,0.0019,0.0022
BCD,4,10,16,0.375,0.005,10000,0.9792,0.0041,0.0167
SCD,5,10,32,0.6875,0.005,10000,0.9768,0.0118,0.0114
BCD,4,10,16,0.375,0.01,10000,0.9582,0.0086,0.0332
SCD,5,10,32,0.6875,0.01,10000,0.9514,0.0237,0.0249
BCD,4,10,16,0.375,0.02,10000,0.9192,0.0194,0.0614
SCD,5,10,32,0.6875,0.02,10000,0.9016,0.0477,0.0507
BCD,4,10,16,0.375,0.05,10000,0.8112,0.0469,0.1419
SCD,5,10,32,0.6875,0.05,10000,0.7762,0.1155,0.1083
BCD,4,10,16,0.375,0.1,10000,0.6513,0.0996,0.2491
SCD,5,10,32,0.6875,0.1,10000,0.5928,0.2155,0.1917
